# path|FNV-1a-64 content hash|review rationale
crates/loopal-acp/src/adapter/mod.rs|837d0702f6cfe158|module registration only; ACP permission and question behavior is scoped
crates/loopal-acp/src/jsonrpc.rs|fd4e1f654666566c|only changed production-source lines add a cfg(test) pending-response seam; ACP adapter behavior is scoped
crates/loopal-agent/src/lib.rs|5fa02aa63c119ba7|module declarations and public re-exports only; workflow planner, control, tools, and shared capability behavior is scoped in focused modules
crates/loopal-agent/src/tools/mod.rs|6d347603625e07b6|tool module registration delegates workflow registration and execution to scoped workflow tool modules
crates/loopal-agent-server/src/lib.rs|cf16973a7f386aef|module declarations and public test re-exports only; workflow input, completion, lifecycle, and terminal delivery behavior is scoped in focused modules
crates/loopal-agent-server/src/mcp_settle.rs|f54171e1885aa165|general MCP startup settling with a behavior-preserving test seam; authenticated MCP transport and workflow integration remain scoped in focused modules
crates/loopal-agent-server/src/memory_init.rs|303e5accf1fc8e62|general project-memory initialization with a behavior-preserving test seam; it does not participate in workflow execution or Stage 0 authority
crates/loopal-agent-server/src/mock_loader.rs|4b92c24cead5d96d|mock-provider fixture implementation with only cfg(test) stream scheduling coverage added; it is not production workflow or security behavior
crates/loopal-agent-server/src/server_info.rs|0ac995702efdb66c|general server discovery with a behavior-preserving directory test seam; authenticated request and workflow behavior remains scoped in focused modules
crates/loopal-agent-server/src/server_init.rs|7d75d487e2dae12a|general initialize handshake with only cfg(test) transport coverage added; workflow and capability authorization remain scoped in focused modules
crates/loopal-agent-server/src/session_start/types.rs|879199f6003a5d89|session handle field declarations only; lifecycle selection, terminal pending state, and redaction behavior is scoped in focused modules
crates/loopal-agent-hub/src/dispatch/registry/mod.rs|ebf1100469bb661a|dispatcher module registration only; registered workflow and authorization handler behavior is scoped
crates/loopal-tool-api/src/lib.rs|bd3c9b9df444a924|module declarations and public re-exports only; private guarded overflow behavior is scoped in truncate/overflow.rs
crates/loopal-agent-hub/src/agent_io/mod.rs|1baf324059f0e74b|module declarations and IO entry-point re-exports only; registration, root-session binding, request, event, and spawn behavior is scoped
crates/loopal-agent-hub/src/lib.rs|5daff3769c0851ab|module and test declarations plus public re-exports only; completion, permission, routing, workflow runtime, and actor behavior is scoped in focused modules
crates/loopal-agent-hub/src/pending_relay/mod.rs|c80af6b8fb4cd0bf|module declarations, relay entry-point re-exports, and test registration only; permission resolution behavior is scoped
crates/loopal-agent-hub/src/spawn_manager/mod.rs|4fd49f299ff51f4e|module and test registration plus spawn entry-point re-exports only; workflow preparation, cleanup, audit, and spawn behavior is scoped
crates/loopal-agent-hub/src/spawn_manager/spawn_audit_test_support.rs|6cfcea912d984dd2|cfg(test)-only spawn-audit fixture used by scoped authority-audit tests; it is not production code
crates/loopal-agent-hub/src/workflow/command.rs|1934b4ad42f01b09|private command and response-channel type declarations only; executable actor dispatch, scheduling, and terminal delivery behavior is scoped
crates/loopal-agent-hub/src/workflow/mod.rs|cd8f55bde8563211|module declarations and public re-exports only; executable workflow actor, scheduler, runtime, journal, recovery, and terminal delivery modules are scoped
crates/loopal-config/src/lib.rs|71d32ade0af2ce7b|public re-exports only; workflow settings and resolver behavior are scoped
crates/loopal-config/src/settings/mod.rs|f442721770bea833|settings module declarations and public re-exports only; workflow settings behavior is scoped
crates/loopal-config/src/resolved.rs|35e28d915ffe49ea|resolved configuration data field and Debug wiring only; preset resolution behavior is scoped
